2019-09-16 11:33:17,475 [Bnd-Processor,pool-4-thread-18] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/spec/org.apache.aries.javax.jax.rs-api/1.0.0/org.apache.aries.javax.jax.rs-api-1.0.0.jar
2019-09-16 11:33:17,596 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-servlet-api/8.0.9/tomcat-servlet-api-8.0.9.pom
2019-09-16 11:33:17,638 [Bnd-Processor,pool-4-thread-9] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jpa/org.apache.aries.jpa.parent/2.7.0/org.apache.aries.jpa.parent-2.7.0.pom.sha1
2019-09-16 11:33:17,688 [Bnd-Processor,pool-4-thread-6] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/specs/geronimo-osgi-locator/1.0/geronimo-osgi-locator-1.0.pom.sha1
2019-09-16 11:33:17,698 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-servlet-api/8.0.9/tomcat-servlet-api-8.0.9.pom.sha1
2019-09-16 11:33:17,730 [Bnd-Processor,pool-4-thread-15] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/osgi/osgi.annotation/6.0.1/osgi.annotation-6.0.1.pom.sha1
2019-09-16 11:33:17,810 [Bnd-Processor,pool-4-thread-9] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/tomcat/tomcat-servlet-api/8.0.9/tomcat-servlet-api-8.0.9.jar
2019-09-16 11:33:17,823 [Bnd-Processor,pool-4-thread-4] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jpa/javax/persistence/javax.persistence_2.1/2.7.0/javax.persistence_2.1-2.7.0.jar
2019-09-16 11:33:17,824 [Bnd-Processor,pool-4-thread-16] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/1.7.10/slf4j-api-1.7.10.pom
2019-09-16 11:33:17,834 [Bnd-Processor,pool-4-thread-6] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/osgi/osgi.annotation/6.0.1/osgi.annotation-6.0.1.jar
2019-09-16 11:33:17,834 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/specs/geronimo-osgi-support/1.0/geronimo-osgi-support-1.0.pom
2019-09-16 11:33:17,930 [Bnd-Processor,pool-4-thread-16] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/1.7.10/slf4j-api-1.7.10.pom.sha1
2019-09-16 11:33:17,985 [Bnd-Processor,pool-4-thread-16] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/slf4j/slf4j-parent/1.7.10/slf4j-parent-1.7.10.pom
2019-09-16 11:33:18,075 [Bnd-Processor,pool-4-thread-16] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/slf4j/slf4j-parent/1.7.10/slf4j-parent-1.7.10.pom.sha1
2019-09-16 11:33:18,091 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/specs/geronimo-osgi-support/1.0/geronimo-osgi-support-1.0.pom.sha1
2019-09-16 11:33:18,137 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/genesis/genesis-java5-flava/2.0/genesis-java5-flava-2.0.pom
2019-09-16 11:33:18,151 [Bnd-Processor,pool-4-thread-23] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/1.7.10/slf4j-api-1.7.10.jar
2019-09-16 11:33:18,184 [Bnd-Processor,pool-4-thread-6] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/osgi/osgi.annotation/6.0.1/osgi.annotation-6.0.1.jar.sha1
2019-09-16 11:33:18,237 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/genesis/genesis-java5-flava/2.0/genesis-java5-flava-2.0.pom.sha1
2019-09-16 11:33:18,290 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/genesis/genesis-default-flava/2.0/genesis-default-flava-2.0.pom
2019-09-16 11:33:18,359 [Bnd-Processor,pool-4-thread-14] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/felix/org.apache.felix.http.servlet-api/1.1.2/org.apache.felix.http.servlet-api-1.1.2.jar.sha1
2019-09-16 11:33:18,365 [Bnd-Processor,pool-4-thread-4] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/jpa/javax/persistence/javax.persistence_2.1/2.7.0/javax.persistence_2.1-2.7.0.jar.sha1
2019-09-16 11:33:18,371 [Bnd-Processor,pool-4-thread-18] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/aries/spec/org.apache.aries.javax.jax.rs-api/1.0.0/org.apache.aries.javax.jax.rs-api-1.0.0.jar.sha1
2019-09-16 11:33:18,388 [Bnd-Processor,pool-4-thread-19] INFO  a.bnd.build.LoggingProgressPlugin - Download https://repo.maven.apache.org/maven2/org/apache/geronimo/genesis/genesis-default-flava/2.0/genesis-default-flava-2.0.pom.sha1
